Date : 2025-03-31 10:33:52
Directory : d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo
Total : 91 files,  16768 codes, 168 comments, 613 blanks, all 17549 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| frontend\src\pages\Admin                                                                                                                   |          9 |        868 |         16 |         64 |        948 |
| frontend\src\pages\hotel                                                                                                                   |          1 |         49 |          0 |          5 |         54 |
| frontend\src\pages\tourguide                                                                                                               |          9 |      1,550 |         11 |         83 |      1,644 |
| frontend\src\pages\user                                                                                                                    |          9 |        768 |         17 |         61 |        846 |
| frontend\src\pages\vehicle                                                                                                                 |          1 |         49 |          0 |          5 |         54 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\README.md                                               | Markdown       |          2 |          0 |          1 |          3 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\README.md                                         | Markdown       |          7 |          0 |          6 |         13 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\eslint.config.js                                  | JavaScript     |         32 |          0 |          2 |         34 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\index.html                                        | HTML           |         13 |          0 |          1 |         14 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package-lock.json                                 | JSON           |      2,718 |          0 |          1 |      2,719 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\package.json                                      | JSON           |         27 |          0 |          1 |         28 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\public\vite.svg                                   | XML            |          1 |          0 |          0 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.css                                       | CSS            |         37 |          0 |          6 |         43 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\App.jsx                                       | JavaScript JSX |         32 |          0 |          4 |         36 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\assets\react.svg                              | XML            |          1 |          0 |          0 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\index.css                                     | CSS            |         61 |          0 |          8 |         69 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\src\main.jsx                                      | JavaScript JSX |          9 |          0 |          2 |         11 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\admin\vite.config.js                                    | JavaScript     |          5 |          1 |          2 |          8 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\config\db.js                                    | JavaScript     |         15 |          0 |          2 |         17 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Admin.js                                 | JavaScript     |          8 |          0 |          2 |         10 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\ContactMessage.js                        | JavaScript     |         34 |          0 |          2 |         36 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\HotelOwner.js                            | JavaScript     |         10 |          0 |          2 |         12 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\Review.js                                | JavaScript     |          9 |          0 |          2 |         11 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\ServiceProvider.js                       | JavaScript     |         10 |          0 |          2 |         12 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourBookings.js                          | JavaScript     |         32 |          0 |          2 |         34 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourGuide.js                             | JavaScript     |         20 |          1 |          2 |         23 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\TourPackage.js                           | JavaScript     |         14 |          0 |          2 |         16 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\VehicleProvider.js                       | JavaScript     |         10 |          0 |          2 |         12 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\models\user.js                                  | JavaScript     |         11 |          0 |          2 |         13 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\package-lock.json                               | JSON           |      2,330 |          0 |          1 |      2,331 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\package.json                                    | JSON           |         25 |          0 |          1 |         26 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\api.js                                   | JavaScript     |        756 |         38 |         98 |        892 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\server.js                                       | JavaScript     |         21 |          3 |          6 |         30 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\README.md                                      | Markdown       |          7 |          0 |          6 |         13 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\eslint.config.js                               | JavaScript     |         32 |          0 |          2 |         34 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\index.html                                     | HTML           |         13 |          0 |          2 |         15 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package-lock.json                              | JSON           |      3,798 |          0 |          1 |      3,799 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package.json                                   | JSON           |         38 |          0 |          1 |         39 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\postcss.config.js                              | JavaScript     |          0 |          0 |          1 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\public\vite.svg                                | XML            |          1 |          0 |          0 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\App.css                                    | CSS            |         37 |          0 |          7 |         44 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\App.jsx                                    | JavaScript JSX |        246 |          3 |         11 |        260 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\assets\react.svg                           | XML            |          1 |          0 |          0 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\AdminHeader.jsx                 | JavaScript JSX |         35 |          0 |          5 |         40 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\ContactUsSmall.jsx              | JavaScript JSX |        197 |          2 |         11 |        210 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Footer.jsx                      | JavaScript JSX |        160 |         12 |         12 |        184 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Header.jsx                      | JavaScript JSX |         93 |          6 |         10 |        109 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\HeaderUser.jsx                  | JavaScript JSX |         34 |          0 |          5 |         39 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarAdmin.jsx                | JavaScript JSX |        242 |          3 |          9 |        254 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarTourGuide.jsx            | JavaScript JSX |        218 |          3 |          8 |        229 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarUser.jsx                 | JavaScript JSX |        185 |          3 |         11 |        199 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SimpleHeader.jsx                | JavaScript JSX |         77 |          5 |          8 |         90 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\index.css                                  | CSS            |          1 |          0 |          0 |          1 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\main.jsx                                   | JavaScript JSX |         10 |          0 |          2 |         12 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\AboutUs.jsx                          | JavaScript JSX |        110 |          8 |          8 |        126 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminDashboard.jsx             | JavaScript JSX |         85 |          2 |          5 |         92 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminLogin.jsx                 | JavaScript JSX |         95 |          4 |         12 |        111 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminRegister.jsx              | JavaScript JSX |        137 |          0 |         10 |        147 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelListing.jsx               | JavaScript JSX |         58 |          0 |          6 |         64 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Reports.jsx                    | JavaScript JSX |        145 |          3 |          7 |        155 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuide.jsx                  | JavaScript JSX |        176 |          7 |          9 |        192 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\UIManage.jsx                   | JavaScript JSX |         58 |          0 |          5 |         63 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Users.jsx                      | JavaScript JSX |         56 |          0 |          5 |         61 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\VehicleListing.jsx             | JavaScript JSX |         58 |          0 |          5 |         63 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ContactUs.jsx                        | JavaScript JSX |        352 |         14 |         20 |        386 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Dashboard.jsx                        | JavaScript JSX |         33 |          1 |          4 |         38 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Home.jsx                             | JavaScript JSX |        183 |         11 |         11 |        205 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelProviderRegister.jsx            | JavaScript JSX |        125 |          0 |          8 |        133 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Login.jsx                            | JavaScript JSX |        120 |          4 |          8 |        132 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderLogin.jsx             | JavaScript JSX |        160 |          1 |         10 |        171 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderRegister.jsx          | JavaScript JSX |        144 |          0 |         11 |        155 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\SignIn.jsx                           | JavaScript JSX |        198 |          0 |         11 |        209 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuideRegister.jsx                | JavaScript JSX |        134 |          2 |          9 |        145 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuides.jsx                       | JavaScript JSX |        109 |          3 |         11 |        123 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleProviderRegister.jsx          | JavaScript JSX |        125 |          0 |          8 |        133 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\hotel\HotelProviderDashboard.jsx     | JavaScript JSX |         49 |          0 |          5 |         54 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideBookings.jsx      | JavaScript JSX |         99 |          0 |          5 |        104 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideChat.jsx          | JavaScript JSX |        111 |          0 |          6 |        117 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideCreatePackage.jsx | JavaScript JSX |        161 |          1 |          9 |        171 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideDashboard.jsx     | JavaScript JSX |        553 |         10 |         31 |        594 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEarnings.jsx      | JavaScript JSX |         86 |          0 |          5 |         91 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEditPackages.jsx  | JavaScript JSX |        112 |          0 |          7 |        119 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEditProfile.jsx   | JavaScript JSX |        231 |          0 |          8 |        239 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideReviews.jsx       | JavaScript JSX |        123 |          0 |          7 |        130 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideServices.jsx      | JavaScript JSX |         74 |          0 |          5 |         79 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\AccountSettings.jsx             | JavaScript JSX |         70 |          3 |          4 |         77 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\EditProfile.jsx                 | JavaScript JSX |        194 |          4 |         15 |        213 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\ExploreDestinations.jsx         | JavaScript JSX |         53 |          1 |          4 |         58 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\HotelBooking.jsx                | JavaScript JSX |         53 |          1 |          4 |         58 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\MyBooking.jsx                   | JavaScript JSX |         41 |          0 |          3 |         44 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\TourGuide.jsx                   | JavaScript JSX |         53 |          1 |          4 |         58 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\TravelPackages.jsx              | JavaScript JSX |         33 |          0 |          3 |         36 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\UserDashboard.jsx               | JavaScript JSX |        212 |          6 |         20 |        238 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\VehicleRental.jsx               | JavaScript JSX |         59 |          1 |          4 |         64 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\vehicle\VehicleProviderDashboard.jsx | JavaScript JSX |         49 |          0 |          5 |         54 |
| d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\vite.config.js                                 | JavaScript     |         16 |          0 |          2 |         18 |
| Total                                                                                                                                      |                |     16,768 |        168 |        613 |     17,549 |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
